Suburb,Code
Abbotsbury,2176
Abbotsford,2046
Agnes Banks,2753
Airds,2560
Alexandria,2015
Alfords Point,2234
Allambie Heights,2100
Allawah,2218
Ambarvale,2560
Annandale,2038
Annangrove,2156
Appin,2560
Arcadia,2159
Arncliffe,2205
Arndell Park,2148
Artarmon,2064
Ashbury,2193
Ashcroft,2168
Ashfield,2131
Asquith,2077
Auburn,2144
Audley,2232
Austral,2179
Avalon,2107
Avalon Beach,2107
Avon,2574
Badgerys Creek,2555
Balgowlah,2093
Balgowlah Heights,2093
Balmain,2041
Balmain East,2041
Balmoral,2571
Bangor,2234
Banksia,2216
Banksmeadow,2019
Bankstown,2200
Bar Point,2083
Barangaroo,2000
Barden Ridge,2234
Bardia,2565
Bardwell Park,2207
Bardwell Valley,2207
Bargo,2574
Bass Hill,2197
Baulkham Hills,2153
Bayview,2104
Beacon Hill,2100
Beaconsfield,2015
Beaumont Hills,2155
Beecroft,2119
Belfield,2191
Belimbla Park,2570
Bella Vista,2153
Bellevue Hill,2023
Belmore,2192
Belrose,2085
Berala,2141
Berkshire Park,2765
Berowra,2081
Berowra Heights,2082
Berowra Waters,2082
Berrilee,2159
Beverley Park,2217
Beverly Hills,2209
Bexley,2207
Bexley North,2207
Bickley Vale,2570
Bidwill,2770
Bilgola,2107
Birchgrove,2041
Birrong,2143
Blackett,2770
Blacktown,2148
Blacktown Westpoint,2148
Blair Athol,2560
Blairmount,2559
Blakehurst,2221
Blenheim Road,2113
Bligh Park,2756
Bondi,2026
Bondi Beach,2026
Bondi Junction,2022
Bonnet Bay,2226
Bonnyrigg,2177
Bonnyrigg Heights,2177
Bossley Park,2176
Botany,2019
Bow Bowing,2566
Bowen Mountain,2753
Box Hill,2765
Bradbury,2560
Breakfast Point,2137
Brighton-Le-Sands,2216
Bringelly,2556
Broadway,2007
Bronte,2024
Brooklyn,2083
Brookvale,2100
Brownlow Hill,2570
Bundeena,2230
Burraneer,2230
Burwood,2134
Burwood Heights,2136
Busby,2168
Buxton,2571
Cabarita,2137
Cabramatta,2166
Cabramatta West,2166
Camden,2570
Camden Park,2570
Camden South,2570
Camellia,2142
Cammeray,2062
Campbelltown,2560
Camperdown,2050
Campsie,2194
Canada Bay,2046
Canley Heights,2166
Canley Vale,2166
Canoelands,2157
Canterbury,2193
Caringbah,2229
Caringbah South,2229
Carlingford,2118
Carlton,2218
Carramar,2163
Carss Park,2221
Cartwright,2168
Castle Cove,2069
Castle Hill,2154
Castlecrag,2068
Casula,2170
Cataract,2560
Catherine Field,2557
Cattai,2756
Cawdor,2570
Cecil Hills,2171
Cecil Park,2178
Centennial Park,2021
Central Colo,2756
