Postcode,District,City/ Town/ Suburb
2000,Sydney,"Dawes Point, Haymarket, Millers Point, Sydney, The Rocks"
2001,Sydney,Sydney
2002,Sydney,World Square
2004,Sydney,Eastern Suburbs
2006,Sydney,University Of Sydney
2007,Sydney,Ultimo
2008,Sydney,"Chippendale, Darlington"
2009,Sydney,Pyrmont
2010,Sydney,"Surry Hills, Darlinghurst"
2011,Sydney,"Woolloomooloo, Elizabeth Bay, Potts Point, Rushcutters Bay"
2012,Sydney,Strawberry Hills
2015,Sydney,"Alexandria, Beaconsfield, Eveleigh"
2016,Sydney,Redfern
2017,Sydney,"Waterloo, Zetland"
2018,Sydney,"Eastlakes, Rosebery"
2019,Sydney,"Banksmeadow, Botany"
2020,Sydney,Mascot
2021,Sydney,"Moore Park, Paddington, Centennial Park"
2022,Sydney,"Queens Park, Bondi Junction"
2023,Sydney,Bellevue Hill
2024,Sydney,"Bronte, Waverley"
2025,Sydney,Woollahra
2026,Sydney,Bondi
2027,Sydney,"Darling Point, Edgecliff, Point Piper"
2028,Sydney,Double Bay
2029,Sydney,Rose Bay
2030,Sydney,"Vaucluse, Watsons Bay, Dover Heights"
2031,Sydney,"Clovelly, Randwick"
2032,Sydney,"Daceyville, Kingsford"
2033,Sydney,Kensington
2034,Sydney,"Coogee, South Coogee"
2035,Sydney,"Maroubra, Pagewood"
2036,Sydney,"Chifley, Eastgardens, Hillsdale, La Perouse, Little Bay, Malabar, Matraville, Phillip Bay, Port Botany"
2037,Sydney,"Forest Lodge, Glebe"
2038,Sydney,Annandale
2039,Sydney,Rozelle
2040,Sydney,"Leichhardt, Lilyfield, Birchgrove"
2041,Sydney,"Balmain, Balmain East"
2042,Sydney,"Enmore, Newtown"
2043,Sydney,Erskineville
2044,Sydney,"St Peters, Sydenham, Tempe"
2045,Sydney,Haberfield
2046,Sydney,"Abbotsford, Canada Bay, Chiswick, Five Dock, Rodd Point, Russell Lea, Wareemba"
2047,Sydney,Drummoyne
2048,Sydney,Stanmore
2049,Sydney,"Lewisham, Petersham"
2050,Sydney,Camperdown
2052,Sydney,University Of New South Wales
2057,Sydney,Chatswood
2059,Sydney,North Sydney
2060,Sydney,"Waverton, Lavender Bay, Mcmahons Point, North Sydney"
2061,Sydney,"Kirribilli, Milsons Point"
2062,Sydney,Cammeray
2063,Sydney,Northbridge
2064,Sydney,Artarmon
2065,Sydney,"Crows Nest, Greenwich, Naremburn, St Leonards, Wollstonecraft"
2066,Sydney,"Lane Cove, Lane Cove North, Lane Cove West, Linley Point, Longueville, Northwood, Riverview"
2067,Sydney,"Chatswood, Chatswood West"
2068,Sydney,"Middle Cove, North Willoughby, Willoughby, Willoughby East, Castlecrag"
2069,Sydney,"Roseville, Roseville Chase, Castle Cove"
2070,Sydney,"East Lindfield, Lindfield"
2071,Sydney,"Killara, East Killara"
2072,Sydney,Gordon
2073,Central Coast,"Pymble, West Pymble"
2074,Sydney,"Turramurra, South Turramurra, North Turramurra, Warrawee"
2075,Sydney,"St Ives, St Ives Chase"
2076,Sydney,"Normanhurst, Wahroonga, North Wahroonga"
2077,Central Coast,"Waitara, Asquith, Hornsby, Hornsby Heights"
2079,Central Coast,Mount Colah
2080,Central Coast,Mount Kuring-gai
2081,Central Coast,"Berowra, Cowan"
2082,Central Coast,"Berowra Heights, Berowra Waters"
2083,Central Coast,"Brooklyn, Dangar Island, Milsons Passage, Mooney Mooney"
2084,Central Coast,"Duffys Forest, Terrey Hills"
2085,Central Coast,"Belrose, Davidson"
2086,Sydney,Frenchs Forest
2087,Sydney,"Forestville, Killarney Heights"
2088,Sydney,Mosman
2089,Sydney,Neutral Bay
2090,Sydney,"Cremorne, Cremorne Point"
2092,Sydney,Seaforth
2093,Sydney,"Balgowlah, North Balgowlah, Balgowlah Heights, Clontarf, Manly Vale"
2094,Sydney,Fairlight
2095,Sydney,Manly
2096,Sydney,"Queenscliff, Curl Curl, Harbord"
2097,Central Coast,Collaroy
2099,Central Coast,"Cromer, Dee Why, Narraweena, North Curl Curl"
2100,Sydney,"Beacon Hill, Brookvale, North Manly, Oxford Falls, Allambie Heights"
2101,Central Coast,"Narrabeen, North Narrabeen, Elanora Heights, Ingleside"
2102,Central Coast,Warriewood
2103,Central Coast,Mona Vale
2104,Central Coast,Bayview
2105,Central Coast,"Church Point, Elvina Bay, Lovett Bay, Scotland Island"
2106,Central Coast,"Newport, Newport Beach"
2107,Central Coast,"Whale Beach, Avalon, Avalon Beach, Bilgola, Careel Bay"
2108,Central Coast,"Palm Beach, The Basin"
2109,Sydney,Macquarie University
2110,Sydney,"Woolwich, Hunters Hill"
2111,Sydney,"Gladesville, Henley, Huntleys Cove, Huntleys Point, Tennyson Point"
2112,Sydney,"Putney, Ryde, Denistone East"
2113,Sydney,"Denistone East, East Ryde, Macquarie Park, North Ryde"
2114,Sydney,"Denistone, Denistone West, Meadowbank, Melrose Park, West Ryde"
2115,Sydney,Ermington
2116,Sydney,Rydalmere
2117,Sydney,"Telopea, Dundas, Dundas Valley, Oatlands"
2118,Sydney,Carlingford
2119,Sydney,"Cheltenham, Beecroft"
2120,Sydney,"Pennant Hills, Thornleigh, Westleigh"
2121,Sydney,"Epping, North Epping"
2122,Sydney,"Marsfield, Eastwood"
2123,Sydney,Parramatta
2124,Sydney,Parramatta
2125,Sydney,West Pennant Hills
2126,Sydney,Cherrybrook
2127,Sydney,"Homebush Bay, Newington"
2128,Sydney,Silverwater
2129,Sydney,Sydney Markets
2130,Sydney,Summer Hill
2131,Sydney,Ashfield
2132,Sydney,Croydon
2133,Sydney,Croydon Park
2134,Sydney,Burwood
2135,Sydney,Strathfield
2136,Sydney,"Strathfield South, Burwood Heights, Enfield"
2137,Sydney,"Breakfast Point, Cabarita, Concord, Mortlake, North Strathfield"
2138,Sydney,"Concord West, Liberty Grove, Rhodes"
2139,Sydney,Concord Repatriation Hospital
2140,Sydney,"Homebush, Homebush West"
2141,Sydney,"Lidcombe, Berala"
2142,Sydney,"Rosehill, Granville, South Granville, Camellia, Clyde, Holroyd"
2143,Sydney,"Birrong, Potts Hill, Regents Park"
2144,Sydney,Auburn
2145,Sydney,"Constitution Hill, Girraween, Greystanes, Mays Hill, Pemulwuy, Pendle Hill, Wentworthville, South Wentworthville, Westmead"
2146,Sydney,"Toongabbie, Old Toongabbie"
2147,Sydney,"Seven Hills, Seven Hills West, Kings Langley, Lalor Park"
2148,Sydney,"Arndell Park, Blacktown, Kings Park, Marayong, Prospect"
2150,Sydney,"Harris Park, Parramatta"
2151,Sydney,"North Parramatta, North Rocks"
2152,Sydney,Northmead
2153,Sydney,"Winston Hills, Baulkham Hills, Bella Vista"
2154,Sydney,Castle Hill
2155,Sydney,"Beaumont Hills, Kellyville, Kellyville Ridge, Rouse Hill"
